,City Name,Country,Date,Longitude,Latitude,Humidity,Cloud Cover,Temp K,Winds
90,Sistranda,NO,1604774922,8.83,63.73,70,75,280.15,3.6
91,Torma,EE,1604775009,26.74,58.81,93,100,283.15,7.2
92,Manicoré,BR,1604775009,-61.3,-5.81,52,100,306.01,1.35
93,Ilulissat,GL,1604775010,-51.1,69.22,66,40,262.15,1.43
94,Kavaratti,IN,1604775010,72.64,10.57,73,0,301.57,2.68
95,Sémbé,CG,1604775010,14.58,1.65,91,28,295.36,0.3
96,Isangel,VU,1604775010,169.27,-19.55,81,1,298.35,3.27
97,Avarua,CK,1604775010,-159.78,-21.21,83,100,297.15,0.5
98,Necochea,AR,1604774980,-58.74,-38.55,76,1,290.93,2.68
99,San Martín,AR,1604775010,-68.47,-33.08,30,0,301.15,3.1
100,Cabedelo,BR,1604775011,-34.83,-6.98,70,40,302.15,8.2
101,Jamestown,US,1604774795,-79.24,42.1,42,1,292.59,4.1
102,Adrar,MR,1604774826,-10.07,20.5,17,100,305.06,3.55
103,Gisborne,NZ,1604774971,178.0,-38.65,69,35,293.71,0.45
104,Kloulklubed,PW,1604775011,134.26,7.04,88,90,298.15,2.6
105,Taltal,CL,1604775011,-70.48,-25.4,62,29,291.33,2.16
106,Mehamn,NO,1604774820,27.85,71.04,80,90,277.15,13.9
107,Grand Gaube,MU,1604775012,57.66,-20.01,73,0,295.37,0.89
108,Mar del Plata,AR,1604774725,-57.56,-38.0,88,40,291.15,4.51
109,Aitape,PG,1604775012,142.35,-3.14,87,100,298.41,3.88
110,Rochegda,RU,1604775012,43.25,62.8,96,100,275.0,4.66
111,Aksarayskiy,RU,1604775012,48.01,46.79,87,75,279.15,5.0
112,Chui,UY,1604775012,-53.46,-33.7,71,23,293.6,5.33
113,Lockhart,US,1604775012,-81.44,28.62,54,75,302.15,9.8
114,Huaiyuan,CN,1604775013,117.2,32.97,38,0,285.8,1.64
115,Torbay,CA,1604774979,-52.73,47.67,87,75,283.71,13.4
116,Saldanha,ZA,1604775013,17.94,-33.01,82,0,290.15,5.7
117,Carnarvon,AU,1604775013,113.63,-24.87,73,90,295.15,5.7
118,Turukhansk,RU,1604775013,87.98,65.82,97,100,265.29,8.36
119,Kapaa,US,1604775013,-159.32,22.08,88,40,299.15,3.6
120,Tasiilaq,GL,1604775013,-37.64,65.61,92,90,271.15,2.1
121,Faya,SA,1604775014,42.45,18.39,72,0,290.15,0.99
122,Temryuk,RU,1604774742,37.38,45.27,71,7,284.15,4.0
123,Benguela,AO,1604775014,13.41,-12.58,72,68,298.19,2.22
124,Thompson,CA,1604775016,-97.86,55.74,85,90,265.15,1.0
125,Belyy Yar,RU,1604775016,91.39,53.6,92,71,272.15,2.0
126,Keflavik,IS,1604775016,-22.56,64.0,86,75,279.15,8.7
127,Meadow Lake,US,1604775016,-106.54,34.8,24,75,294.82,6.2
128,Mahébourg,MU,1604775017,57.7,-20.41,78,40,296.15,3.6
129,Lagoa,PT,1604775017,-27.98,39.05,71,0,289.54,9.37
130,Pouembout,NC,1604775017,164.9,-21.13,78,16,295.31,2.29
131,Marzuq,YE,1604775017,46.47,14.4,55,1,291.99,1.68
132,Clyde River,CA,1604775017,-68.59,70.47,84,20,254.15,2.1
133,Bilibino,RU,1604775017,166.44,68.05,89,100,254.96,0.65
134,Arlit,NE,1604774821,7.39,18.74,20,0,299.47,8.04
135,Honiara,SB,1604774891,159.95,-9.43,94,20,296.15,1.0
136,Antofagasta,CL,1604775017,-70.4,-23.65,59,20,292.15,5.1
